Session Id,Clicked
41cb91c7-ec1d-4e71-98fd-9e1c374bd33b,0.39
c9d3f8e4-1445-45f2-99db-754bda50766c,0.25
f85ffa39-b799-49a1-82b5-2f76a4009212,0.24
49336ffb-a9b7-485c-9891-6274482484e0,0.17
8ea9c920-6686-46f2-acd1-4bf20371c28c,0.38
76b96907-8ff5-4442-bff6-2b468f49df4b,0.26
6fe88a3b-56d8-46de-a00b-27030f3bb84a,0.15
f7465fcf-f10e-45b7-ab4f-8964ea538665,0.15
a0b28072-3dcf-481b-b0ae-c996facf91c3,0.22
a71b6ae3-0da9-4d44-a391-04d4c523a9b2,0.23
f294cb27-d372-483f-a901-668eed6cb795,0.24
a48f4c4a-ddc8-4b4e-a9f8-1c42466f0ee2,0.28
34d7e3c8-c056-4a4a-bb8f-d3620468a107,0.33
9541e470-d6f7-47e1-aada-3f20456f786d,0.3
0681bc95-8af4-497e-8c96-57a674f81d82,0.31
6957984c-774a-42fc-a763-ea12cdb927e9,0.34
cb299041-1eaf-42b2-89e0-a6f968d93130,0.26
20b9e916-6f78-432e-a633-0715b9e9cbf9,0.24
0eb020f2-b763-425d-9f47-d7278d8a9810,0.39
5a158ac6-56ff-4900-bc86-6b4c3805bad7,0.22
bf84c501-1d74-41d7-ad8d-cf543b60781f,0.28
06446816-a0b0-407f-94b0-80284741a454,0.12
253500b3-224e-46da-a311-241bcffa3a06,0.15
392ed143-93d5-4d5f-b31a-1e23df032c0e,0.29
af6b997b-f01a-4f56-a279-9f39da1910ce,0.28
37e3d49d-937b-40f1-9c11-ba813ba77727,0.21
2dbffe2c-8b0a-41b5-8ac8-1528249c6e8e,0.37
65a37381-79d7-4163-9019-0c113de3d380,0.35
7ae15df3-c0b1-4fd9-94af-b0f0dc094eb3,0.24
9ad559f3-79d1-4550-9e86-04a33d25af62,0.29
b7371d72-c55b-47c0-88ac-4320441f6f01,0.18
04f4cc7e-68e0-4e52-b3fe-2fa0b84aba24,0.3
f7f6d364-a3c3-496d-9387-b7b718901d37,0.44
d2dfe360-79c3-4ebe-95c3-b199d3bc4cd2,0.16
ad9e0de9-96fd-43ca-8878-bfcc79994c6b,0.2
b4e66384-dbc3-400a-9b17-70e3c5cc0f17,0.21
a4114de2-fe49-48a4-a035-a5fbf8f0a62e,0.29
8e2e1c1d-00b5-4253-b732-f6f84c854860,0.28
c8400be9-cb58-4c07-a41a-922e8d81ae5c,0.23
827e0012-a48e-473c-9a78-bb8ae2d95132,0.41
835a5ff3-1eb9-4ba8-b2e1-c82a0f889973,0.26
ce91234e-689f-4a97-91fc-234a4a2c8d4c,0.31
e9879dee-dc10-47a5-ae4c-3859862ac7dd,0.19
6f421ee7-2dd7-41f4-98ed-a85d6d6971d5,0.17
b54caffb-6046-468e-9a3a-f43c26118bfb,0.18
ee4a8bd8-741e-4110-94fc-4ad08da6c2e6,0.26
fb87e2e5-1750-47ef-99de-b6780d9378df,0.22
12ddf885-1707-4e3f-9af2-77416c3962de,0.32
643090c6-cb53-42ca-9948-1dd949bb24e0,0.28
c2d8cb43-f48a-4c9e-be59-e32c8543159f,0.32
6e4b0666-f953-4c2c-96ab-548da1e8c6a3,0.19
748421ed-6778-4d13-9db8-84f7aa9e26dc,0.34
d37ceaa4-2181-424e-9ad6-8c14b6dce0e3,0.16
2f5dbcf6-1c36-4217-8a82-96f62233e6d6,0.28
c453bd2b-a3dd-4c21-bab6-47cf6962f9c7,0.29
43401c9f-5afb-4e63-8c80-0121ffb67d7f,0.39
039aa7fa-713a-436a-a4f5-2e8d1ea3eeef,0.49
0eb3cdde-1449-4666-9dfb-03ff6bb1de32,0.21
86f8800a-a3b6-4e41-b0d2-74301cb5cba8,0.2
12079613-9641-4ec7-b0cd-72c188f786b6,0.24
9bca2871-2dbf-43d3-90db-dd38c3a9c3f6,0.21
50e009c6-c4b0-4f46-9058-375aac880f10,0.16
61752dc2-a382-4246-9522-4d1e516cc58b,0.39
